Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-II.NFO,03/01/2022,09:15:00,17550,17459.2,200,17487.2,50,50,829700
NIFTY-II.NFO,03/01/2022,09:15:00,17550,17459.2,200,17487.2,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:00,17550,17459.2,200,17487.2,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:00,17550,17459.2,200,17487.2,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:01,17550,17459.25,200,17477.25,200,0,829700
NIFTY-II.NFO,03/01/2022,09:15:02,17550,17464.35,200,17482.45,200,0,829700
NIFTY-II.NFO,03/01/2022,09:15:03,17472.65,17473.75,200,17482.1,200,200,829700
NIFTY-II.NFO,03/01/2022,09:15:03,17472.65,17473.75,200,17482.1,200,0,829700
NIFTY-II.NFO,03/01/2022,09:15:03,17472.65,17473.75,200,17482.1,200,0,829700
NIFTY-II.NFO,03/01/2022,09:15:04,17494.8,17469.45,200,17494.8,100,450,829700
NIFTY-II.NFO,03/01/2022,09:15:05,17481.95,17469.65,200,17494.55,100,150,829700
NIFTY-II.NFO,03/01/2022,09:15:07,17475.25,17483,200,17489,50,200,829700
NIFTY-II.NFO,03/01/2022,09:15:08,17489,17486.45,200,17492.5,200,50,829700
NIFTY-II.NFO,03/01/2022,09:15:09,17489,17486.65,200,17490,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:10,17489,17485.5,350,17489,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:11,17489,17486.8,200,17489,50,0,829700
NIFTY-II.NFO,03/01/2022,09:15:12,17490.7,17490.7,100,17494.95,200,350,829700
NIFTY-II.NFO,03/01/2022,09:15:13,17498.2,17496.25,100,17499,50,150,829700
NIFTY-II.NFO,03/01/2022,09:15:14,17497.6,17499.85,50,17504.75,150,1100,829700
NIFTY-II.NFO,03/01/2022,09:15:15,17497.6,17498.1,100,17510.8,200,0,829700
