Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY-III.NFO,03/01/2022,09:15:18,17545,17545.65,200,17554,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:18,17545,17545.65,200,17554,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:18,17545,17545.65,200,17554,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:18,17545,17545.65,200,17554,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:19,17545,17539.9,200,17549.75,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:20,17545,17545.35,200,17553.5,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:21,17545,17545.15,200,17555.85,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:22,17545.95,17545.95,300,17555.85,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:22,17545.95,17545.95,300,17555.85,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:23,17546.75,17548.8,100,17555.75,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:23,17546.75,17548.8,100,17555.75,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:24,17546.45,17546.45,50,17557.4,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:25,17546.45,17547.75,50,17550,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:26,17547.75,17546.35,50,17550,50,50,63200
NIFTY-III.NFO,03/01/2022,09:15:26,17547.75,17546.35,50,17550,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:27,17547.75,17543.95,50,17549.9,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:28,17547.75,17541.55,50,17545.9,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:29,17547.75,17540.35,50,17545.9,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:30,17547.75,17538.55,50,17545.8,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:31,17544.55,17533.1,50,17542,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:31,17544.55,17533.1,50,17542,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:32,17544.55,17535.5,100,17543.25,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:33,17544.55,17535.55,50,17543.25,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:34,17544.55,17534.3,50,17543.15,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:35,17544.55,17537.55,50,17545.8,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:36,17544.55,17536.45,50,17545.6,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:37,17544.55,17538.2,50,17545.5,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:38,17544.55,17538.65,50,17545.4,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:39,17544.55,17539,50,17545.3,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:40,17544.55,17538.4,50,17545.2,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:41,17544.55,17538.7,50,17545.1,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:42,17544.55,17538.75,50,17544.8,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:43,17544.55,17539.1,150,17544.5,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:44,17543.75,17538.4,50,17544.5,200,50,63200
NIFTY-III.NFO,03/01/2022,09:15:44,17543.75,17538.4,50,17544.5,200,0,63200
NIFTY-III.NFO,03/01/2022,09:15:45,17540,17540.25,50,17544.55,50,50,63200
NIFTY-III.NFO,03/01/2022,09:15:45,17540,17540.25,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:46,17540,17541.4,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:47,17540,17542,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:48,17540,17541.1,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:49,17540,17542.2,100,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:50,17540,17542.3,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:51,17540,17542.25,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:52,17540,17541.65,50,17544.55,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:54,17541.95,17542.9,50,17545,50,50,63200
NIFTY-III.NFO,03/01/2022,09:15:55,17541.95,17542.9,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:56,17541.95,17542.3,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:58,17541.95,17543.35,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:15:59,17541.95,17541.3,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:00,17541.95,17541.65,100,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:01,17541.95,17543.6,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:02,17541.95,17544.4,50,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:03,17541.95,17544.6,100,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:04,17541.95,17544.9,100,17545,50,0,63200
NIFTY-III.NFO,03/01/2022,09:16:05,17545,17546.15,50,17549,50,50,63200
